id|crossing|finishing|heading_accuracy|short_passing|volleys|dribbling|curve|fk_accuracy|long_passing|ball_control|acceleration|sprint_speed|agility|reactions|balance|shot_power|jumping|stamina|strength|long_shots|aggression|interceptions|positioning|vision|penalties|composure|defensive_awareness|standing_tackle|sliding_tackle|gk_diving|gk_handling|gk_kicking|gk_positioning|gk_reflexes|traits
203376|53|52|86|79|45|70|60|70|86|76|68|89|61|89|53|81|88|74|93|64|85|89|47|65|62|90|91|91|86|13|10|13|11|11|Leadership,Long Passer (AI),Power Header
202126|80|93|85|84|87|83|82|65|86|86|67|70|68|92|73|92|79|83|83|86|80|44|94|87|92|92|50|36|38|8|10|11|14|11|Leadership,Long Passer (AI),Long Shot Taker (AI),Playmaker (AI),Outside Foot Shot
200389|13|11|15|43|13|12|13|14|40|30|42|53|64|86|48|59|77|42|78|12|36|24|11|67|11|68|27|14|18|86|90|79|87|89|GK Long Throw,Comes For Crosses
200145|62|64|81|84|65|69|72|74|84|79|60|66|61|88|66|88|85|88|90|81|91|89|75|79|66|85|90|89|88|13|14|16|12|12|Power Free-Kick,Solid Player,Dives Into Tackles (AI),Long Passer (AI),Long Shot Taker (AI),Team Player
190871|83|83|63|85|86|95|88|87|81|94|88|86|93|88|82|79|62|79|52|81|63|37|86|90|91|93|35|32|29|9|9|15|15|11|Injury Prone,Flair,Speed Dribbler (AI),Playmaker (AI),Outside Foot Shot,Technical Dribbler (AI)
167495|15|13|25|60|11|30|14|11|68|46|48|50|51|85|35|68|77|43|80|16|29|30|12|70|47|70|17|10|11|87|88|90|88|87|Leadership,GK Long Throw,Rushes Out Of Goal,Comes For Crosses
239818|54|29|87|82|32|64|46|48|76|74|54|69|60|89|56|74|78|77|90|26|92|86|39|51|45|81|90|88|85|7|8|13|7|12|Leadership,Power Header
230621|12|12|12|36|8|28|12|14|34|30|50|55|64|85|38|59|72|34|72|18|30|26|14|60|24|65|20|14|16|90|82|79|85|89|Rushes Out Of Goal,Comes For Crosses
218667|84|78|51|88|78|92|84|67|78|91|81|65|94|87|92|79|51|93|54|78|77|65|83|84|68|89|66|73|58|9|10|14|12|9|Flair,Playmaker (AI),Outside Foot Shot,Team Player,Technical Dribbler (AI)
215914|68|65|54|81|56|78|49|49|76|81|77|68|78|91|92|71|75|91|72|65|91|89|72|77|54|84|90|92|85|15|12|10|7|10|Injury Prone,Leadership
210257|20|14|14|61|18|23|15|20|65|40|64|63|60|87|48|68|66|41|78|18|38|27|20|70|51|70|29|15|8|86|82|91|86|86|Long Passer (AI),Rushes Out Of Goal,Comes For Crosses
208722|78|85|84|84|75|88|77|64|71|86|89|84|91|91|88|83|86|85|72|78|75|35|90|84|75|84|42|42|38|10|10|15|7|14|Flair,Speed Dribbler (AI),Team Player
207865|68|59|88|84|35|69|58|32|85|79|77|81|68|87|66|65|92|82|78|45|81|89|70|76|52|86|90|89|89|6|6|12|10|13|Power Header,Team Player
200104|83|91|68|81|79|86|87|74|74|82|85|88|82|91|76|88|60|88|64|89|62|39|91|81|73|89|47|34|33|11|13|13|6|10|Solid Player,Finesse Shot,Long Shot Taker (AI),Speed Dribbler (AI),Team Player
192448|18|14|11|61|14|21|18|12|63|30|45|50|39|85|43|65|79|35|78|10|43|22|11|70|25|70|25|13|10|86|85|87|85|90|Rushes Out Of Goal,Comes For Crosses,Saves with Feet
182521|88|77|58|93|82|80|86|84|93|88|55|52|63|90|71|89|32|75|72|86|60|80|76|89|73|88|71|73|60|10|11|13|7|10|Long Passer (AI),Long Shot Taker (AI),Playmaker (AI)
177003|86|72|55|91|76|85|85|78|92|90|76|70|91|88|92|79|67|83|58|82|62|80|78|90|83|92|70|75|72|13|9|7|14|9|Long Passer (AI),Long Shot Taker (AI),Playmaker (AI),Outside Foot Shot,Team Player,Technical Dribbler (AI)
231866|63|64|80|86|59|78|65|61|83|85|54|62|65|82|65|89|72|88|84|82|82|83|75|83|46|85|84|86|78|10|10|7|14|8|Solid Player,Long Shot Taker (AI)
228702|78|72|72|91|70|87|84|64|89|89|80|83|87|88|79|68|76|89|74|66|74|82|77|88|53|90|76|76|77|7|13|10|10|9|Finesse Shot,Flair,Playmaker (AI),Outside Foot Shot,Technical Dribbler (AI)
215698|18|15|17|57|16|31|38|16|53|40|50|53|41|85|56|64|74|39|78|20|35|25|15|61|15|66|23|16|19|85|82|85|85|89|Leadership,GK Long Throw,Comes For Crosses
210514|87|69|72|87|62|85|87|69|79|86|86|84|79|84|78|80|72|91|62|79|76|81|81|85|52|85|79|83|79|6|9|15|14|14|Early Crosser,Long Shot Taker (AI),Outside Foot Shot,Technical Dribbler (AI)
205452|68|40|82|80|34|64|50|56|78|72|72|91|56|85|50|77|84|71|90|67|92|84|49|61|40|78|88|87|84|14|15|10|12|8|Long Passer (AI),Long Shot Taker (AI)
199556|82|60|57|90|64|91|85|64|89|92|65|55|90|87|93|60|66|75|53|58|89|86|78|89|64|94|78|82|84|12|12|15|15|10|Injury Prone,Dives Into Tackles (AI),Flair,Playmaker (AI),Outside Foot Shot
193080|17|13|21|48|13|18|21|19|50|34|52|50|63|88|43|56|67|43|55|12|30|30|12|53|29|58|25|21|13|88|80|75|86|89|Solid Player,Cautious With Crosses,Saves with Feet
193041|11|15|11|40|11|24|21|15|37|30|54|53|60|84|61|56|70|39|75|13|32|22|16|64|25|63|28|14|14|87|84|75|87|87|GK Long Throw,Cautious With Crosses
20801|77|90|89|76|84|79|79|75|70|86|75|82|77|89|67|92|95|70|75|87|62|29|92|76|90|93|24|32|24|7|11|15|14|11|Power Free-Kick,Flair,Long Shot Taker (AI),Outside Foot Shot
239053|78|76|59|86|70|81|74|69|87|85|84|91|77|87|68|89|62|89|80|87|81|81|80|83|59|82|79|82|79|6|10|6|15|8|Long Shot Taker (AI),Outside Foot Shot
238794|72|84|50|75|72|92|77|62|73|89|95|95|94|82|83|76|75|84|62|76|58|26|82|75|65|79|32|25|18|5|7|7|7|10|Flair,Speed Dribbler (AI),Outside Foot Shot,Technical Dribbler (AI)
235073|13|10|13|39|10|24|13|12|33|34|38|52|37|84|29|56|70|30|81|10|24|14|10|59|12|66|15|15|15|86|84|74|82|88|Leadership,GK Long Throw,Rushes Out Of Goal,Comes For Crosses,Saves with Feet
232411|81|86|61|85|70|89|82|80|80|88|81|85|88|85|90|79|59|78|64|78|59|64|86|84|67|81|62|64|54|5|6|10|15|7|Finesse Shot,Flair,Playmaker (AI),Outside Foot Shot,Technical Dribbler (AI)
232363|40|42|81|72|40|64|34|30|73|70|75|81|54|87|56|50|85|81|89|30|87|85|30|46|56|87|90|92|81|10|13|12|8|12|Solid Player,Team Player
231478|58|88|84|76|90|84|78|54|73|86|86|80|86|89|89|80|89|80|84|76|90|45|87|80|74|86|55|31|44|11|8|8|8|13|Flair,Outside Foot Shot,Technical Dribbler (AI)
224232|79|73|53|86|80|80|79|67|85|87|80|78|90|88|90|77|78|94|73|79|84|83|81|86|73|86|80|79|81|11|5|13|14|11|Dives Into Tackles (AI),Long Shot Taker (AI)
223848|71|82|86|86|74|85|81|78|86|87|66|70|62|84|63|83|87|91|87|81|79|79|82|83|59|84|78|79|74|7|10|7|16|7|Flair,Power Header,Outside Foot Shot
216352|73|69|70|85|65|79|79|74|84|84|70|68|79|83|84|80|70|94|68|84|86|84|67|83|69|82|79|84|82|8|8|15|11|8|Long Passer (AI),Long Shot Taker (AI),Playmaker (AI)
216267|87|55|67|82|32|81|82|71|76|83|82|79|75|85|74|76|62|95|65|65|85|83|77|80|55|83|82|83|81|11|8|10|7|14|Early Crosser,Speed Dribbler (AI)
212218|58|45|84|83|40|63|61|69|81|78|55|65|57|87|55|68|80|67|83|47|82|87|54|65|44|84|86|87|86|10|11|5|14|5|Injury Prone,Long Passer (AI)
212198|86|83|64|89|87|79|86|85|87|85|75|69|78|91|79|88|71|93|66|88|82|67|85|92|90|79|66|73|65|12|14|15|8|14|Solid Player,Leadership,Flair,Long Passer (AI),Long Shot Taker (AI),Playmaker (AI),Outside Foot Shot
211110|82|83|58|86|88|90|89|88|79|93|84|76|88|79|90|84|74|73|60|89|43|42|82|91|84|79|32|41|39|5|4|4|5|8|Injury Prone,Finesse Shot,Flair,Long Shot Taker (AI),Playmaker (AI),Outside Foot Shot,Technical Dribbler (AI)
209658|75|82|86|86|71|84|76|73|85|85|78|78|76|86|73|85|80|84|88|86|82|85|85|84|60|82|74|84|78|13|8|15|11|9|Injury Prone,Dives Into Tackles (AI),Long Shot Taker (AI)
209499|75|63|75|84|47|78|71|53|82|81|54|65|61|85|64|81|75|85|80|70|84|85|70|76|90|85|84|86|84|13|12|6|8|8|Dives Into Tackles (AI),Long Passer (AI)
197445|83|63|77|89|67|77|77|85|80|85|79|79|76|88|78|82|81|74|78|78|78|87|73|78|79|85|89|84|83|5|7|14|15|9|Long Shot Taker (AI)
192387|55|91|81|79|85|79|70|58|57|81|84|86|75|87|84|86|82|77|74|80|73|40|90|71|88|76|34|33|32|6|8|15|12|6|Outside Foot Shot
189513|86|83|61|92|72|81|88|90|90|86|52|49|63|79|72|81|49|76|70|88|58|80|81|90|88|85|70|70|69|5|9|12|14|8|Solid Player,Leadership,Long Passer (AI),Playmaker (AI)
189509|78|68|54|90|82|89|85|77|88|92|69|55|90|82|90|75|86|75|60|73|80|82|75|87|75|88|68|76|75|6|11|7|9|13|Injury Prone,Dives Into Tackles (AI),Flair,Playmaker (AI),Outside Foot Shot,Technical Dribbler (AI)
188943|13|13|11|25|12|10|14|12|12|24|43|50|42|84|37|59|76|45|75|13|30|22|12|46|17|64|15|14|10|84|82|79|85|88|Leadership,Rushes Out Of Goal,Saves with Feet
186153|12|12|16|32|14|11|16|14|36|22|51|47|55|82|51|55|71|45|65|14|40|15|14|48|18|65|20|13|12|86|83|73|86|87|
177683|13|13|10|40|8|15|12|13|31|25|48|54|55|84|58|62|73|45|68|12|38|21|15|64|24|57|9|19|12|78|81|82|86|90|Rushes Out Of Goal,Cautious With Crosses
164240|60|40|82|83|61|67|62|61|84|80|45|52|62|88|66|71|88|66|79|65|77|89|59|73|60|86|90|87|85|9|12|5|9|10|Leadership,Power Header,Team Player
252371|66|77|69|86|71|86|73|49|85|84|77|70|81|85|79|78|77|91|75|74|85|81|78|84|56|81|79|79|77|14|11|10|5|8|Dives Into Tackles (AI),Leadership,Flair,Technical Dribbler (AI)
251854|68|72|50|87|56|87|79|62|85|88|82|76|88|85|90|68|65|88|73|68|62|72|77|88|53|87|68|73|63|12|7|11|8|8|Solid Player,Flair,Long Passer (AI),Technical Dribbler (AI)
235243|52|50|85|75|45|65|48|55|67|73|62|71|53|84|62|82|91|75|92|66|84|81|44|45|40|82|84|86|85|12|11|11|12|10|Solid Player,Power Header
232656|84|69|74|79|66|83|69|64|68|79|92|94|78|85|76|83|68|90|81|72|82|78|80|73|50|80|74|81|80|12|10|7|7|7|Speed Dribbler (AI)
231281|91|62|69|87|63|78|87|85|91|84|73|79|73|82|73|82|66|89|66|75|69|82|78|90|55|80|77|81|78|14|15|14|6|7|Early Crosser,Long Passer (AI),Long Shot Taker (AI)
224458|73|86|84|77|79|85|77|58|72|84|87|81|86|87|85|85|81|81|71|75|85|56|89|77|69|80|53|57|45|7|12|15|9|11|Speed Dribbler (AI),Power Header
224334|86|66|61|85|67|87|88|75|77|86|77|76|83|85|90|83|63|91|82|81|84|81|80|82|76|87|81|85|84|8|14|13|13|14|Flair,Long Passer (AI),Outside Foot Shot
222665|84|76|52|89|76|86|83|85|84|87|78|71|85|77|83|80|46|81|56|78|63|65|81|89|63|78|65|49|51|14|15|15|8|10|Solid Player,Leadership,Flair,Playmaker (AI),Outside Foot Shot,Technical Dribbler (AI)
216594|81|82|50|83|77|89|83|79|77|86|88|79|85|81|91|84|64|79|81|83|82|36|82|87|74|90|36|44|30|15|9|8|14|15|Power Free-Kick,Finesse Shot,Flair,Outside Foot Shot,Chip Shot (AI),Technical Dribbler (AI)
213345|81|75|61|80|78|88|83|70|74|87|94|89|92|85|84|83|73|69|66|73|35|23|83|81|68|78|29|27|21|5|3|5|3|5|Injury Prone,Speed Dribbler (AI)
212190|48|30|84|79|49|57|33|38|77|64|60|84|34|82|44|78|60|65|94|62|86|81|42|66|32|82|83|89|87|15|7|14|7|15|Injury Prone
209989|74|66|68|86|56|85|69|70|86|84|63|75|67|82|50|86|83|79|84|78|84|82|70|85|49|87|82|85|79|11|13|9|9|7|Long Passer (AI),Long Shot Taker (AI)
209981|15|14|14|39|13|20|12|19|44|12|38|37|47|83|29|59|48|43|69|19|25|12|10|62|24|57|20|18|15|83|84|78|84|84|GK Long Throw,Comes For Crosses,Saves with Feet
208093|77|89|82|79|81|85|77|62|75|84|78|78|77|85|72|83|79|77|74|82|61|42|85|78|85|80|44|41|41|15|12|7|12|10|Injury Prone,Finesse Shot,Outside Foot Shot
204485|80|80|56|83|76|89|85|80|75|90|84|77|91|83|88|82|56|75|57|82|48|39|84|83|74|81|45|31|22|15|9|13|11|6|Finesse Shot,Flair,Long Shot Taker (AI),Technical Dribbler (AI)
202811|22|16|26|57|13|17|22|20|59|38|59|57|49|82|49|62|60|40|70|16|37|13|12|66|42|62|11|20|20|83|83|82|84|85|Solid Player,Leadership,GK Long Throw,Team Player,Comes For Crosses
202652|78|81|46|81|67|85|79|72|67|83|92|81|94|89|93|78|57|78|65|79|59|30|90|80|70|77|47|53|47|15|12|12|15|9|Flair,Speed Dribbler (AI)
202556|84|83|65|81|75|87|84|83|75|86|81|83|80|84|81|86|69|79|83|83|72|28|85|85|76|79|23|31|20|8|14|6|12|10|Flair,Long Shot Taker (AI),Outside Foot Shot,Technical Dribbler (AI)
201535|42|46|85|78|42|61|46|52|77|76|77|83|62|85|39|52|80|65|88|53|78|85|55|59|43|82|88|87|83|11|11|9|5|14|Injury Prone
201024|50|43|83|71|48|70|53|39|69|72|68|88|48|83|33|67|82|68|92|38|83|85|50|65|50|82|87|86|83|7|11|7|13|5|Power Header
195864|73|74|74|87|84|89|85|82|92|87|60|72|71|76|65|90|80|64|88|84|79|62|77|90|80|85|53|67|63|5|6|2|4|3|Injury Prone,Flair,Long Passer (AI),Long Shot Taker (AI),Playmaker (AI),Outside Foot Shot,Technical Dribbler (AI)
194765|82|84|83|84|85|85|87|85|81|86|80|79|88|85|83|84|87|86|69|85|74|57|89|87|79|89|45|61|58|14|8|14|13|14|Finesse Shot,Flair,Long Shot Taker (AI),Outside Foot Shot,Chip Shot (AI),Technical Dribbler (AI)
192629|80|90|76|79|84|87|79|83|73|86|78|85|87|84|72|79|66|69|60|80|63|39|86|81|82|85|39|21|18|12|16|9|12|13|Leadership,Finesse Shot,Outside Foot Shot,Team Player,Chip Shot (AI)
192505|73|88|87|78|79|82|78|66|70|78|72|86|59|83|52|87|74|67|95|75|71|27|86|75|88|82|30|41|30|8|15|14|7|10|Speed Dribbler (AI),Power Header
189596|85|85|79|85|84|77|81|59|79|83|64|59|68|93|71|78|77|83|66|79|62|58|94|86|70|84|47|57|46|6|7|11|14|14|Solid Player,Leadership,Outside Foot Shot
189511|62|67|68|87|50|80|66|68|85|85|40|43|66|81|50|61|66|75|70|54|79|84|76|83|60|90|83|83|82|5|8|13|9|13|Leadership,Team Player
189332|86|73|70|86|75|79|82|63|81|84|86|83|87|79|84|64|80|83|61|66|75|80|83|78|59|80|74|78|79|13|15|13|6|13|Early Crosser,Speed Dribbler (AI)
188350|84|84|44|85|87|86|88|85|79|86|74|63|82|86|81|86|68|72|66|81|51|56|84|86|79|86|59|47|59|12|12|13|13|11|Injury Prone,Finesse Shot,Playmaker (AI),Outside Foot Shot,Technical Dribbler (AI)
186942|77|80|50|88|75|85|86|80|84|90|66|63|77|85|77|79|61|74|73|80|70|75|83|86|80|87|77|75|67|11|14|5|5|13|Injury Prone,Leadership,Long Shot Taker (AI),Playmaker (AI),Technical Dribbler (AI)
185122|16|10|23|35|10|19|18|11|31|25|42|44|41|81|42|57|67|37|74|12|34|23|11|44|24|45|25|16|20|85|84|76|83|85|
167948|13|10|9|52|15|12|12|10|55|29|61|59|54|83|56|53|72|41|43|14|31|25|9|57|40|55|24|12|18|86|82|70|82|86|Leadership,Cautious With Crosses
256790|66|76|49|81|65|90|67|49|75|88|84|79|92|84|91|71|55|77|53|74|59|65|78|81|53|85|64|63|69|6|9|8|8|11|Technical Dribbler (AI)
246669|82|83|45|81|74|89|81|69|65|87|88|82|84|84|86|76|54|82|63|78|68|68|82|83|83|79|65|69|67|7|8|13|9|13|Flair,Technical Dribbler (AI)
246430|57|88|79|71|78|81|75|79|59|85|77|83|63|85|53|84|71|79|88|82|69|24|88|68|79|80|19|26|24|5|15|6|11|10|Finesse Shot,Chip Shot (AI)
241852|76|80|28|80|67|88|71|42|72|85|95|94|92|76|93|73|62|82|44|64|67|48|79|77|48|75|48|35|46|8|9|8|8|14|Speed Dribbler (AI),Technical Dribbler (AI)
241721|75|80|63|76|74|89|80|60|63|86|90|92|82|83|80|80|62|77|80|72|60|24|82|74|63|81|22|24|21|10|12|15|11|9|Finesse Shot,Flair,Speed Dribbler (AI),Outside Foot Shot,Technical Dribbler (AI)
241486|45|47|80|81|32|72|42|26|75|74|85|83|71|85|74|48|88|76|80|40|75|86|47|62|43|82|85|85|83|11|10|8|14|13|Dives Into Tackles (AI)
241096|78|69|70|84|68|75|75|81|81|83|78|83|81|82|83|79|65|85|81|81|84|81|75|78|64|84|81|81|75|13|9|8|7|7|Long Passer (AI),Team Player
241084|76|80|62|76|74|89|75|58|71|87|92|91|88|83|75|84|73|84|69|82|70|25|81|77|63|83|28|38|34|10|13|13|14|14|Flair,Long Shot Taker (AI),Technical Dribbler (AI)
240130|69|48|82|79|34|70|60|40|76|74|83|88|70|85|62|62|85|86|79|42|84|86|64|59|60|74|85|86|84|11|8|15|12|15|Early Crosser,Long Passer (AI)
238074|88|69|76|83|67|83|83|76|78|82|79|81|72|83|88|83|75|77|85|69|77|79|78|82|62|84|81|84|80|8|12|7|13|11|Injury Prone,Early Crosser
237692|77|80|47|85|59|86|75|68|82|90|86|78|91|81|91|82|49|83|47|77|64|59|82|83|64|81|60|59|47|8|15|6|10|13|Flair,Long Shot Taker (AI),Playmaker (AI),Technical Dribbler (AI)
237383|70|26|82|78|35|70|53|36|80|76|68|77|58|86|57|49|75|81|82|37|84|87|39|69|47|84|87|88|82|11|5|9|11|12|Long Passer (AI),Team Player
235805|75|80|50|78|80|89|78|62|72|82|91|91|89|86|81|86|53|85|70|84|69|30|84|77|62|82|65|48|44|6|7|8|9|7|Long Shot Taker (AI),Speed Dribbler (AI),Outside Foot Shot
235212|84|75|68|81|74|79|77|74|73|82|91|93|82|81|78|80|79|92|72|73|75|78|78|77|60|72|75|76|76|10|8|14|6|8|Solid Player,Speed Dribbler (AI),Outside Foot Shot
234642|10|5|10|54|9|18|13|14|54|31|33|36|50|82|33|61|39|37|72|9|22|13|6|53|13|57|10|11|13|82|81|81|82|85|Leadership,Comes For Crosses
234396|85|64|70|82|59|85|72|44|67|84|96|93|86|84|84|74|78|81|75|63|77|78|77|77|58|78|76|74|74|11|11|6|5|14|Flair,Speed Dribbler (AI)
234378|55|61|72|83|50|78|61|65|84|79|68|74|55|81|67|78|74|90|79|65|84|85|58|79|71|83|82|84|80|8|11|14|5|9|Leadership,Long Passer (AI)
232756|56|33|83|73|32|61|38|40|65|66|80|90|74|84|71|56|83|73|84|45|83|85|37|48|27|81|86|89|82|10|13|10|11|7|
232293|62|90|81|72|76|80|63|48|53|80|87|93|78|85|68|80|90|81|86|73|70|34|86|70|75|79|36|45|22|14|14|10|9|6|Speed Dribbler (AI),Power Header,Chip Shot (AI)
231677|75|85|76|78|73|86|83|77|71|82|86|91|81|84|74|92|76|75|73|79|69|39|84|79|85|80|40|38|33|11|6|15|7|14|Power Free-Kick,Flair,Long Shot Taker (AI),Speed Dribbler (AI)
231443|86|75|43|80|76|89|82|64|76|87|94|93|90|80|81|83|58|68|51|76|54|36|77|83|75|80|42|30|33|6|6|14|10|13|Flair,Speed Dribbler (AI)
230938|66|73|68|83|60|78|61|54|75|84|77|79|70|81|77|84|72|93|86|78|84|84|74|76|88|84|85|84|78|9|11|12|12|10|Solid Player,Team Player
230666|74|83|78|81|79|88|76|54|66|87|86|81|92|87|90|84|81|82|74|78|82|32|88|79|75|78|45|30|28|13|8|6|6|15|Flair,Technical Dribbler (AI)
228251|74|77|74|88|74|82|74|79|85|87|79|79|80|85|82|79|70|90|74|76|74|72|80|87|82|84|73|76|73|12|7|10|13|11|Leadership,Finesse Shot,Playmaker (AI),Outside Foot Shot,Team Player
226161|74|80|67|85|66|82|75|63|81|84|85|90|82|83|68|84|69|90|77|77|81|81|83|83|65|82|79|79|74|13|6|6|11|15|Speed Dribbler (AI)
222492|81|80|72|82|84|86|84|83|70|85|88|92|87|82|81|86|64|70|66|80|63|34|81|81|71|82|36|32|35|8|12|9|9|14|Power Free-Kick,Long Shot Taker (AI),Speed Dribbler (AI)
220814|78|53|82|77|46|65|59|39|63|76|75|78|70|84|69|62|85|73|78|51|90|83|62|63|42|77|85|85|83|10|7|8|14|10|Injury Prone,Dives Into Tackles (AI)
220697|83|80|35|86|77|86|86|86|85|88|78|69|86|80|83|83|51|78|53|83|70|44|84|87|74|87|59|65|42|11|14|14|12|14|Flair,Long Passer (AI),Long Shot Taker (AI),Playmaker (AI),Outside Foot Shot
213648|68|68|65|84|64|79|70|74|84|80|56|54|65|85|67|85|65|87|78|82|88|83|69|75|56|85|84|85|73|9|7|12|11|11|Solid Player,Long Shot Taker (AI)
212616|78|76|58|85|71|82|84|76|85|85|80|76|78|81|78|80|68|91|79|78|82|79|78|86|66|81|72|81|75|13|12|10|7|14|Solid Player,Finesse Shot,Long Passer (AI),Long Shot Taker (AI),Playmaker (AI),Technical Dribbler (AI)
210935|77|82|62|85|78|85|78|75|79|88|82|82|92|84|87|83|65|77|64|80|85|25|83|83|76|78|42|30|30|5|6|5|5|6|Flair,Long Shot Taker (AI),Outside Foot Shot,Team Player,Technical Dribbler (AI)
208574|90|72|59|81|75|84|85|80|79|82|85|85|75|82|79|86|67|90|77|78|79|69|79|80|66|82|69|75|73|13|14|12|12|13|Power Free-Kick,Speed Dribbler (AI)
208418|80|81|55|80|74|89|86|80|74|85|87|88|86|79|70|84|71|75|61|82|65|47|80|80|79|84|46|64|61|9|11|9|10|10|Flair,Long Shot Taker (AI),Speed Dribbler (AI),Outside Foot Shot,Technical Dribbler (AI)
208128|80|75|53|88|74|85|85|85|84|88|72|62|83|84|79|86|45|80|55|87|73|76|79|86|81|85|74|70|65|9|14|11|6|10|Flair,Long Passer (AI),Long Shot Taker (AI),Outside Foot Shot
206517|82|76|36|84|72|88|78|74|81|87|78|75|84|81|84|76|32|81|70|79|62|44|81|86|58|88|50|49|45|11|6|11|10|13|Flair,Playmaker (AI),Technical Dribbler (AI)
206113|77|85|42|82|83|85|74|62|73|82|84|79|85|81|88|87|55|75|69|82|63|38|85|81|70|82|45|44|43|14|10|10|9|7|Injury Prone,Flair,Long Shot Taker (AI),Technical Dribbler (AI)
205498|75|64|56|91|71|79|75|76|88|87|63|47|75|83|72|71|58|86|66|62|78|81|69|84|89|84|67|80|71|14|7|13|14|8|Playmaker (AI)
204963|82|51|70|82|49|78|76|47|74|83|80|84|78|79|82|68|77|85|74|47|85|78|75|72|45|80|76|81|82|13|13|15|9|15|Team Player
204639|36|34|84|72|27|47|34|30|71|66|60|68|58|82|52|45|86|71|82|31|86|86|29|55|37|80|90|86|83|14|13|14|13|12|Power Header
199451|74|87|74|83|85|87|82|76|66|88|82|81|91|85|91|84|77|72|68|74|62|44|89|80|85|85|34|33|26|6|13|9|7|7|Leadership,Flair,Outside Foot Shot,Team Player,Chip Shot (AI),Technical Dribbler (AI)
198176|49|25|84|75|27|66|45|36|71|73|66|69|61|85|59|65|80|80|79|60|77|88|31|70|41|85|88|87|85|8|10|7|14|13|Long Passer (AI)
192984|15|15|14|35|13|14|20|13|37|23|44|46|50|80|43|59|58|44|72|18|33|16|15|42|20|40|11|19|17|84|82|79|84|86|Comes For Crosses
190286|81|78|50|84|67|83|85|84|83|84|84|83|83|84|82|78|39|81|71|84|69|77|84|90|80|80|63|74|62|15|12|16|13|12|Injury Prone,Finesse Shot,Flair,Long Shot Taker (AI),Playmaker (AI)
189575|81|80|43|84|75|88|84|79|76|89|84|76|91|81|94|73|72|76|49|79|66|45|82|82|64|84|58|55|38|10|5|5|13|12|Finesse Shot,Flair,Playmaker (AI),Outside Foot Shot,Team Player,Technical Dribbler (AI)
188377|77|51|72|80|57|79|76|71|81|81|85|94|66|85|69|86|83|83|80|69|84|78|68|69|63|75|75|84|83|12|6|16|15|8|Long Throw-in,Speed Dribbler (AI)
186345|87|54|79|83|58|76|87|87|81|83|75|66|66|84|79|82|78|86|64|71|75|82|77|84|66|82|80|83|81|11|14|8|11|10|Long Throw-in,Leadership,Early Crosser
183898|85|74|53|87|78|90|92|88|81|91|80|79|91|84|75|83|70|74|61|86|73|42|82|89|73|89|41|55|52|10|7|11|12|11|Injury Prone,Flair,Long Shot Taker (AI),Outside Foot Shot,Chip Shot (AI),Technical Dribbler (AI)
